Artist ID,Name,Nationality,Gender,Birth Year,Death Year,wikidata_id,enhanced_birth_year,match_status
4943,Manuel Rivera,Spanish,Male,1927.0,1994.0,,,api_error
4944,Jacinto H. Rivero Castilla,Peruvian,Male,,,,,api_error
4945,Larry Rivers,American,Male,1923.0,2002.0,,,api_error
4946,Henri Rivière,French,Male,1864.0,1951.0,,,api_error
4947,Dan Rizzie,American,Male,1951.0,,,,api_error
4949,Manuel Robbe,French,Male,1872.0,1936.0,,,api_error
4950,Bruce Robbins,American,Male,1948.0,,,,api_error
4951,David Robbins,American,Male,1912.0,1981.0,,,api_error
4952,Hulda Robbins,American,Female,1910.0,2010.0,,,api_error
4953,LeRoy Southward Robbins,American,Male,1904.0,1987.0,,,api_error
4955,Louis-Rémy Robert,French,Male,1811.0,1882.0,,,api_error
4957,William Roberts,British,Male,1895.0,1980.0,,,api_error
4958,Henry B. Robertson,American,Male,,,,,api_error
4959,James Robertson,British,Male,1813.0,1888.0,,,api_error
4963,Henry Peach Robinson,British,Male,1830.0,1901.0,,,api_error
4964,Ione Robinson,American,Male,1910.0,1989.0,,,api_error
4965,Walter Robinson,American,Male,1950.0,,,,api_error
4967,T. H. Robsjohn-Gibbings,American,Male,1905.0,1976.0,,,api_error
4968,Hugo Robus,American,Male,1885.0,1964.0,,,api_error
4969,Gunther Rochelt,German,Male,1939.0,,,,api_error
4970,Rocher,French,,,,,,api_error
4972,Dorothea Rockburne,American,Female,1932.0,,,,api_error
4973,Rockwood and Company,American,,1832.0,1911.0,,,api_error
4974,Juan Antonio Roda,Colombian,Male,1921.0,2003.0,,,api_error
4975,Aleksandr Rodchenko,Russian,Male,1891.0,1956.0,,,api_error
4978,Auguste Rodin,French,Male,1840.0,1917.0,,,api_error
4979,Mary Rodney,American,Female,,,,,api_error
4981,Emilio Rodríguez Larraín,Peruvian,Male,1928.0,2015.0,,,api_error
4982,Juan Carlos Rodriguez,Nationality unknown,Male,,,,,api_error
4983,Manuel Rodríguez Lozano,Mexican,Male,1896.0,1971.0,,,api_error
4984,Sebastian Rodriguez,Peruvian,Male,1896.0,1968.0,,,api_error
4985,Jenny Roed,German,Female,,,,,api_error
4986,Herman Roeg,American,Male,,,,,api_error
4988,Nick Roericht,German,Male,1932.0,,,,api_error
4989,Kurt Roesch,American,Male,1905.0,1984.0,,,api_error
4990,Georg Walter Roessner,German,Male,1885.0,1972.0,,,api_error
4991,Walter Rogalski,American,Male,1923.0,,,,api_error
4992,John C. Rogers,Nationality unknown,Male,,,,,api_error
4993,Mary Rogers,British,Female,1929.0,,,,api_error
4995,Roger van Rogger,Belgian,Male,1914.0,1983.0,,,api_error
4996,Rogi André (Rozsa Klein),Hungarian,Female,1905.0,1970.0,,,api_error
4998,Milton Rogovin,American,Male,1909.0,2011.0,,,api_error
4999,Gilbert Rohde,American,Male,1894.0,1944.0,,,api_error
5000,Christian Rohlfs,German,Male,1849.0,1938.0,,,api_error
5001,Robert Rohm,American,Male,1934.0,,,,api_error
5002,Benedikt Rohner,Swiss,Male,,,,,api_error
5003,Charles Roitz,American,Male,1935.0,2012.0,,,api_error
5004,Carlos Rojas,Colombian,Male,1933.0,1997.0,,,api_error
5005,K.O.S. (Kids of Survival),American,,1982.0,,,,api_error
5006,Thomas Roma,American,Male,1950.0,,,,api_error
5007,Dominique Roman,French,Male,1824.0,1911.0,,,api_error
5008,Romolo Romani,Italian,Male,,,,,api_error
5009,Clare Romano,American,Female,1922.0,,,,api_error
5010,Oswaldo Romberg,Argentine,Male,1938.0,,,,api_error
5011,Gust Romijn,Dutch,Male,,,,,api_error
5012,William Ronald,Canadian,Male,1926.0,1998.0,,,api_error
5013,Nelson Ronsheim,American,Male,,,,,api_error
5014,Leonardo Rosa,Nationality unknown,Male,,,,,api_error
5015,Kitaoji Rosanjin,Japanese,Male,1883.0,1959.0,,,api_error
5016,James Rosati,American,Male,1912.0,1988.0,,,api_error
