Artist ID,Name,Nationality,Gender,Birth Year,Death Year
2460,George H. Hake,American,Male,,
2464,Marshall Hall,American,Male,,
2487,Harry Handler,American,Male,,
2489,Wolfgang Hanns,German,Male,,
2499,Elizabeth Harding,Nationality unknown,Female,,
2512,Kate Harris,British,Female,,
2513,L. Harris,,,,
2514,Margaret Harris,American,Female,,
2516,Anthony Harrison,British,Male,,
2527,J.D.H. Harvey,British,,,
2536,Peter Hatch,British,Male,,
2537,Hatsuo Ikeuchi,Japanese,Male,,
2540,Declan Haun,American,Male,,
2550,E. Hawthorne,British,,,
2562,Jack Heaney,American,Male,,
2568,Josef Hecht,Polish,Male,,
2576,Michael Heindorff,German,Male,,
2589,"J.A. Henckels, Solingen, Germany",,,1731.0,
2597,Bill Henry,American,Male,,
2598,"Henry Disston & Sons, Inc.",American,,1840.0,
2603,Arsène Herbinier,French,,,
2607,Albin J. Herek,American,Male,,
2608,Hanns Herkendell,German,Male,,
2617,Patrick Heron,British,Male,,
2624,Robert Joseph Hettel,American,Male,,
2626,Wout van Heusden,Dutch,Male,,
2630,Hibner,Polish,,,
2633,Hideshima Yukio,Japanese,Male,,
2643,Susumu Higuchi,Japanese,Male,,
2650,Hille,Nationality unknown,,,
2660,K. Hinterberger,German,,,
2682,Gerhard Hoehme,German,Male,,
2683,Fred J. Hoertz,Nationality unknown,Male,,
2691,Lilly E. Hoffman,American,Female,,
2693,Wolf Hoffman,German,Male,,
2706,Roger Hollenbeck,American,Male,,
2708,Torben Holmback,Danish,,1933.0,
2710,William Henry Holmes,American,Male,,
2733,Koyo Hosoi,Japanese,Male,,
2734,Hosoda Masayoshi,Japanese,Male,,
2736,Takeichi Hotta,Japanese,Male,,
2737,Gordon House,British,Male,,
2738,Keith Hovis,American,Male,,
2748,Richard Hudson,American,Male,,
2751,Patrick Hughes,British,Male,,
2759,Sipke Huismans,Dutch,Male,,
2760,Huller,Swiss,,,
2771,Max Hunziker,Nationality unknown,Male,,
2778,Sidney Jack Hurwitz,American,Male,,
2792,Arinori Ichihara,Japanese,Male,,
