Artist ID,Name,Nationality,Gender,Birth Year,Death Year
8707,Diller + Scofidio,American,,1979.0,
8838,"Abalos&Herreros, Madrid",Spanish,,1984.0,
8928,Coop Himmelb(l)au,Austrian,,1968.0,
8933,Yushi Uehara,Japanese,Male,1964.0,
8987,"Toyo Ito & Associates, Architects",Japanese,,1971.0,
8998,"Asymptote Architecture, New York",,,1989.0,
9016,"Focus Belysning, Denmark",,,1975.0,
9072,"Alias SpA, Bergamo, Italy",Italian,,1979.0,
9221,Flos S.p.A.,Italian,,1962.0,
9304,"Synthetic Industries, Chattanooga, TN",American,,1969.0,
9401,"Luceplan, S.p.A., Italy",,,1978.0,
9403,"Fasem International srl, Vicopisano, Italy",,,1976.0,
9980,"Authentics artipresent GmbH, Germany",,,1981.0,
10016,"Intel Corporation, Santa Clara, CA",American,,1968.0,
10220,"Foscarini Murano S.p.A., Italy",,,1981.0,
10245,"Logitech, Inc.",American,,1981.0,
10290,"Zelco Industries, Inc.",American,,1976.0,
10295,"Apple, Inc.",,,1976.0,
10296,"MAP (Merchants of Australian Products Pty., Ltd.)",,,1989.0,
10406,"Boda Nova, Sweden",,,1970.0,
10442,"Swatch AG, Switzerland",Swiss,,1983.0,
10718,"frogdesign, Sunnydale, CA",American,,1969.0,
10725,"Smart Design, New York",American,,1979.0,
10804,"Sony Corporation, Creative Center",Japanese,,1961.0,
10877,"Giro Sport Design, Inc., a division of Bell Sports, Inc.",American,,1985.0,
10973,"LSI Logic Corporation, Milpitas, CA",American,,1981.0,
11157,"Acordis Industrial Fibers, The Netherlands",Dutch,,1999.0,
11159,"Lexon, France",,,1990.0,
12382,Liz Larner,American,Female,1960.0,
19572,Nicole Eisenman,American,Female,1965.0,
19660,Annette Rosado,American,Female,1972.0,
19661,José Parissi,American,Male,1968.0,
19662,George Garces,American,Male,1972.0,
19664,Angel Abreu,American,Male,1974.0,
19862,David Shrigley,British,Male,1968.0,
19962,Hans-Ulrich Obrist,Swiss,Male,1968.0,
20631,Larry Mantello,American,Male,1964.0,
21446,Jack Pierson,American,Male,1960.0,
22556,SHoP Architects PC,American,,1996.0,
22557,Brian Alexander,American,Male,1963.0,
22564,Teppo Asikainen,Finnish,Male,1968.0,
22568,Ayse Birsel,Turkish,Female,1964.0,
22571,matali crasset,French,Female,1965.0,
22574,Markus Nevalainen,Finnish,Male,1970.0,
22577,Kari Sivonen,Finnish,Female,1969.0,
22582,Sam Hecht,British,Male,1969.0,
22583,Chris Chapman,British,Male,1964.0,
22584,David Sandbach,British,Male,1963.0,
22586,Vesa Hinkola,Finnish,,1970.0,
22587,Rane Vaskivuori,Finnish,,1967.0,
22588,Jay Kyu Lee,Korean,Male,1964.0,
22594,Kimberly J. Holden,American,Female,1966.0,
22595,Gregg A. Pasquarelli,American,Male,1965.0,
22598,Christopher R. Sharples,American,Male,1963.0,
22669,Franz Ackermann,German,Male,1963.0,
22672,Ingrid Calame,American,Female,1968.0,
22683,Iran do Espírito Santo,Brazilian,Male,1963.0,
22715,Laura Owens,American,Female,1970.0,
22719,Manfred Pernice,German,Male,1963.0,
22722,Alessandro Pessoli,Italian,Male,1963.0,
22747,Mark Sheinkman,American,Male,1963.0,
22750,Juul Kraijer,Dutch,Male,1970.0,
22751,Chris Finley,American,Male,1971.0,
22753,"Richard Meier & Partners, Architects",,,1963.0,
22754,"Richard Meier & Associates, Architects",,,1963.0,
22782,Kolatan / Mac Donald Studio,,,1988.0,
22828,Heike Lohmann,German,Female,1960.0,
22830,Christophe Cornubert,American,Male,1963.0,
22836,Gro Bonesmo,Norwegian,Female,1963.0,
22837,Julien Monfort,French,Male,1968.0,
22838,Yo Yamagata,Japanese,Male,1962.0,
22839,Jeanne Gang,American,Female,1964.0,
22840,Chris Dondorp,Dutch,Male,1970.0,
22845,Renzo Piano Building Workshop,Italian,,1980.0,
22846,"Eisenman Architects, New York",,,1988.0,
22935,Matthew Ritchie,British,Male,1964.0,
22936,Darren Almond,British,Male,1971.0,
22939,Jim Lambie,Scottish,Male,1964.0,
22945,William Sharples,American,Male,1963.0,
22971,Laylah Ali,American,Female,1968.0,
22972,Davor Vrankic,Croatian,Male,1965.0,
22974,Mendell & Oberer,German,,1961.0,
22983,Tacita Dean,British,Female,1965.0,
22997,Ibrahim Miranda,Cuban,Male,1969.0,
22999,Sarah Morris,American,Female,1967.0,
23025,Barbara Ambrosz,Austrian,Female,1972.0,
23253,Preston Scott Cohen,American,Male,1961.0,
23259,UN Studio Van Berkel & Bos,Dutch,,1988.0,
23262,Ronan Bouroullec,French,Male,1971.0,
23263,Erwan Bouroullec,French,Male,1976.0,
23264,Claudy Jongstra,Dutch,Female,1963.0,
23267,Yuh Okano,Japanese,Male,1965.0,
23270,Henk Stallinga,Dutch,Male,1962.0,
23392,Karin Apollonia Müller,German,Female,1963.0,
23416,Jose Burges,American,Male,1971.0,
23417,Robert Delgado,American,Male,1971.0,
23419,Nelson Montes,American,Male,1972.0,
23420,Carlos Rivera,American,Male,1971.0,
24572,Gregor Schneider,German,Male,1969.0,
24619,Flex Development B.V.,Dutch,,1988.0,
24627,Jürgen Mayer H.,German,Male,1965.0,
24628,Sebastian Finckh,German,Male,1963.0,
24697,Tokujin Yoshioka,Japanese,Male,1967.0,
24704,Pandora Design,Italian,,1998.0,
24705,Giulio Iacchetti,Italian,Male,1966.0,
24706,Matteo Ragni,Italian,Male,1972.0,
24770,Miriam Bäckström,Swedish,Female,1967.0,
24771,Oliver Boberg,German,Male,1965.0,
24859,Elinor Carucci,Israeli,Female,1971.0,
24863,"Micro Compact Car Smart GmbH, Renningen, Germany, and Hambach, France",,,1994.0,
24869,Yinka Shonibare,British,Male,1962.0,
25181,Michaël Borremans,Belgian,Male,1963.0,
25182,Mark Manders,Dutch,Male,1968.0,
25189,Ernesto Neto,Brazilian,Male,1964.0,
25190,Chloe Piene,American,Female,1972.0,
25412,Ryan McGinness,American,Male,1972.0,
25414,Julie Mehretu,American,Female,1970.0,
25415,Roxy Paine,American,Male,1966.0,
