Artist ID,Name,Nationality,Gender,Birth Year,Death Year,wikidata_id,match_status,source
830,Robert Brunner,American,Male,1958.0,,,,
831,Albin Brunovsky,Slovak,Male,,,,,
833,Günter Brus,Austrian,Male,1938.0,,,,
834,Grisha Bruskin,Russian,Male,1945.0,,,,
836,William Bryant,American,Male,1946.0,,,,
839,Gernot Bubenik,German,Male,1942.0,,,,
840,Boris Bućan,Croatian,Male,1947.0,,,,
841,Erich Buchegger,Austrian,Male,1924.0,,,,
845,John Buck,American,Male,1946.0,,,,
849,Stephen Buckley,British,Male,,,,,
851,Dan Budnik,American,Male,1933.0,,,,
852,Budry,Greek,,,,,,
858,Adam Bujak,Polish,Male,1940.0,,,,
862,Torun Bülow-Hübe,Swedish,Female,1929.0,,,,
864,Willi Bunkowski,German,Male,1949.0,,,,
865,Édouard-Wilfred Buquet,French,Male,1866.0,,,,
866,Pierre Buraglio,French,Male,1939.0,,,,
873,Daniel Buren,French,Male,1938.0,,,,
874,Bill Burke,American,Male,1943.0,,,,
875,Burkhard,Swiss,,,,,,
880,Deirdre Burnett,British,Female,1939.0,,,,
881,Joseph Burnett,American,Male,1923.0,,,,
882,Marsha Burns,American,Female,1945.0,,,,
888,Richmond Burton,American,Male,1960.0,,,,
892,Andrew Foster Bush,American,Male,1956.0,,,,
898,Frances Butler,American,Female,1940.0,,,,
901,Elizabeth Butterworth,British,Female,1949.0,,,,
903,Michael Byron,American,Male,1954.0,,,,
904,C.N. and Company,British,,,,,,
905,Roland Cabot,Brazilian,Male,,,,,
906,Luigi Caccia Dominioni,Italian,Male,1913.0,,,,
907,Cadavre Exquis,French,,,,,,
908,John Cadenhead,American,Male,1937.0,,,,
910,Poul Cadovius,Danish,Male,1911.0,,,,
911,Deborah Fleming Caffery,American,Female,1948.0,,,,
914,Miriam Cahn,Swiss,Female,1949.0,,,,
916,Fred Cain,American,Male,1938.0,,,,
917,José Milner Cajahuaringa,Peruvian,Male,1932.0,,,,
918,Charles Cajori,American,Male,1921.0,,,,
920,Nicolas Calas,American,Male,1907.0,,,,
923,Dale R. Caldwell,American,Male,1929.0,,,,
927,Edwin Calligan,British,Male,,,,,
928,Jo Ann Callis,American,Female,1940.0,,,,
931,"P. E. Camerer, St. Paul, MN",American,,,,,,
934,Luis Camnitzer,Uruguayan,Male,1937.0,,,,
937,Nickie Campbell,American,,1962.0,,,,
939,Steven Campbell,British,Male,1954.0,,,,
941,Antonia Campi,Italian,Female,1921.0,,,,
944,Peter Campus,American,Male,1937.0,,,,
947,John Candelario,American,Male,1916.0,,,,
948,Louis Cane,French,Male,1943.0,,,,
952,Rafael Canogar,Spanish,Male,1935.0,,,,
954,Federico Cantú,Mexican,Male,,,,,
957,Bruno Capacci,Italian,Male,1906.0,,,,
961,Paul Caponigro,American,Male,1932.0,,,,
964,Aida Carballo,Argentine,Female,,,,,
967,Santiago Cárdenas,Colombian,Male,1937.0,,,,
973,C. Carleton,American,,,,,,
975,Charles W. Carlson,American,Male,,,,,
976,Richard Carlson,Australian,Male,1941.0,,,,
978,Natacha Carlu,Nationality unknown,Female,,,,,
980,Eugenio Carmi,Italian,Male,1920.0,,,,
981,John William Carnell,American,Male,1952.0,,,,
983,Carol,Cuban,,,,,,
984,Paolo Carosone,Italian,Male,,,,,
985,Carpenter,British,,,,,,
989,Clara Carrié,Argentine,Female,,,,,
991,Mario Carrieri,Italian,Male,1932.0,,,,
996,Patricia Jon Carroll,American,Female,1942.0,,,,
1004,John Casado,American,Male,1944.0,,,,
1008,Pietro Cascella,Italian,Male,1921.0,,,,
1009,Jacqueline S. Casey,American,Female,1927.0,,,,
1010,Sydney Cash,American,Male,1941.0,,,,
1011,Casio Computer Co. Ltd.,Japanese,,1957.0,,,,
1013,Felice Casorati,Italian,Female,,,,,
1019,Herbert Carroll Cassill,American,Male,1928.0,,,,
1021,Rodolfo V Castagna,Argentine,Male,,,,,
1024,Pedro Castelar Báez,Mexican,Male,,,,,
1025,Enrico Castellani,Italian,Male,1930.0,,,,
1033,Vita Castro,Mexican,Female,,,,,
1035,P. H. Caswell,American,,,,,,
1036,Umberto Catalano,Italian,Male,1944.0,,,,
1038,Bob Cato,Nationality unknown,Male,1923.0,,,,
1040,Cause,French,,,,,,
1041,Alik Cavaliere,Italian,Male,1926.0,,,,
1044,Bruno Ceccobelli,Italian,Male,1952.0,,,,
1045,Francis Celentano,American,Male,1928.0,,,,
1046,Stojan Celic,Nationality unknown,Male,,,,,
1047,Perez Celis,Argentine,Male,,,,,
1048,Vija Celmins,American,Female,1938.0,,,,
1049,Centrokappa Design and Communication,Italian,,1972.0,,,,
1051,Emilio Cerri,Italian,Male,,1947.0,,,
1056,Roger Chailloux,Dutch,Male,,,,,
1058,Paul Chaleff,American,Male,1947.0,,,,
1062,Chambers,American,,,,,,
1065,Bruce Chandler,American,Male,1945.0,,,,
1068,Linda Chapman,American,Female,1952.0,,,,
1069,André Chapon,French,Male,,,,,
1070,Walter Chappell,American,Male,1925.0,,,,
1078,Louisa Chase,American,Female,1951.0,,,,
1086,Bernard Cheese,British,Male,,,,,
1088,Cheng Sha Ping,Chinese,,,,,,
1091,Ivan Chermayeff,American,Male,1932.0,,,,
1092,Norman Cherner,American,Male,1920.0,,,,
1095,Michael Chernyshov,Russian,Male,1945.0,,,,
1096,Lee Chesney,American,Male,1920.0,,,,
1097,Sandro Chia,Italian,Male,1946.0,,,,
1098,Miriam Chiaverini,Nationality unknown,Female,,,,,
1099,Judy Chicago,American,Female,1937.0,,,,
1100,John Chick,American,Male,,,,,
1102,Chikuchi Toshio,,,,,,,
1107,Marcel Chirnoaga,Romanian,Male,1930.0,,,,
1108,Anna Chojnacka,Polish,Female,1914.0,,,,
1110,Chunghi Choo,American,Female,1938.0,,,,
1111,Gilles-Louis Chrétien,French,Male,,,,,
1114,Christo,American,Male,1935.0,,,,
1119,Caldecot Chubb,American,Male,,,,,
1120,John W. Church,American,Male,,,,,
1122,Seymour Chwast,American,Male,1931.0,,,,
1123,Michael Ciavolino,American,Male,1924.0,,,,
1124,Carmen L. Cicero,American,Male,1926.0,,,,
1128,Carlo Cisventi,Italian,Male,1929.0,,,,
1133,Larry Clark,American,Male,1943.0,,,,
1134,John Clem Clarke,American,Male,1937.0,,,,
1136,José Claudio Da Silva,Brazilian,Male,1932.0,,,,
1138,Antoni Clavé,Spanish,Male,1913.0,,,,
1139,Maude Schuyler Clay,American,Female,1953.0,,,,
1143,Gisela Clemens,German,Female,,,,,
1144,Mildred Leo Clemens,Nationality unknown,Female,,,,,
1145,Francesco Clemente,Italian,Male,1952.0,,,,
1146,Lucien Clergue,French,Male,1934.0,,,,
1148,Pierre Clerk,Canadian,Male,1928.0,,,,
1150,Henry Cliffe,British,Male,,,,,
1152,William Clift,American,Male,1944.0,,,,
1153,Paul Clinton,American,Male,1942.0,,,,
1156,Chuck Close,American,Male,1940.0,,,,
1157,John Timothy Close,American,Male,1958.0,,,,
1158,Emile Clouet,French,Male,,,,,
1159,Prunella Clough,British,Female,,,,,
